loc_rowid,pl_name,sy_snum,sy_pnum,sy_mnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_eqt,st_teff,st_logg,sy_dist
10835,Kepler-138 d,1,4,0,2014,23.09230000,0.128800,1.510,2.10000,3.60000,345,3841.00,4.71,66.8624000
12250,Kepler-15 b,1,1,0,2011,4.94278200,0.058300,14.448,221.20968,0.40400,1251,5595.00,4.28,739.4120000
12448,Kepler-1514 b,1,2,0,2016,217.83184000,0.753000,12.420,1678.14240,4.82000,388,6145.00,4.29,397.2920000
13969,Kepler-1654 b,1,1,0,2018,1047.83560000,2.026000,9.180,158.91500,1.20000,206,5597.00,4.30,568.1170000
13988,Kepler-1656 b,1,2,0,2018,31.57865900,0.197000,5.020,48.60000,2.13000,651,5731.00,4.37,185.8750000
14030,Kepler-1661 b,2,1,0,2020,175.06000000,0.633000,3.870,17.00000,1.60000,243,5100.00,4.66,410.6070000
14146,Kepler-167 e,2,4,0,2016,1071.23205000,1.883000,10.160,321.00669,1.68000,134,4884.00,4.58,341.9080000
14460,Kepler-17 b,1,1,0,2011,1.48571080,0.025910,14.680,778.65000,1.35000,1570,5781.00,4.45,720.7530000
14463,Kepler-17 b,1,1,0,2011,1.48571080,0.026050,14.684,743.72220,1.29542,1712,5781.00,4.48,720.7530000
14517,Kepler-1704 b,1,1,0,2013,988.88112000,2.027000,11.949,1322.16617,4.07000,254,5746.00,4.03,835.4550000
17358,Kepler-20 b,2,6,0,2011,3.69612190,0.045370,1.910,8.70000,6.50000,1014,5455.00,4.40,282.5630000
17360,Kepler-20 b,2,6,0,2011,3.69611525,0.046300,1.868,9.70000,8.20000,1105,5495.00,4.45,282.5630000
17366,Kepler-20 c,2,6,0,2011,10.85409089,0.094900,3.047,12.75000,2.50000,772,5495.00,4.45,282.5630000
17376,Kepler-20 c,2,6,0,2011,10.85409200,0.093000,3.070,16.10000,2.91000,713,5455.00,4.40,282.5630000
17380,Kepler-20 d,2,6,0,2011,77.61184000,0.345300,2.750,20.10000,4.07000,369,5455.00,4.40,282.5630000
17385,Kepler-20 d,2,6,0,2011,77.61130017,0.350600,2.744,10.07000,2.70000,401,5495.00,4.45,282.5630000
17695,Kepler-21 b,2,1,0,2012,2.78578000,0.042717,1.639,5.08000,6.40000,2025,6305.00,4.03,108.5220000
17696,Kepler-21 b,2,1,0,2012,2.78575500,0.042507,1.635,10.40000,12.90000,1956,6131.00,4.02,108.5220000
17978,Kepler-22 b,1,1,0,2011,289.86230000,0.849000,2.380,36.00000,14.70000,262,5518.00,4.44,194.6420000
22488,Kepler-36 b,1,2,0,2012,13.83989000,0.115300,1.486,4.45000,7.46000,978,5911.00,4.04,527.9560000
22496,Kepler-36 c,1,2,0,2012,16.23855000,0.128300,3.679,8.08000,0.89000,928,5911.00,4.04,527.9560000
23215,Kepler-39 b,1,1,0,2011,21.08716800,0.153900,12.240,5689.15700,17.20000,851,6260.00,4.29,1057.4100000
23216,Kepler-39 b,1,1,0,2011,21.08740000,0.155000,13.680,5720.70000,12.40000,905,6260.00,4.10,1057.4100000
23225,Kepler-39 b,1,1,0,2011,21.08721000,0.164000,13.900,6388.10000,13.00000,897,6350.00,4.40,1057.4100000
23462,Kepler-4 b,1,1,0,2009,3.21346000,0.045600,4.002,24.47200,1.91000,1650,5857.00,4.17,487.9160000
23463,Kepler-4 b,1,1,0,2009,3.21365800,0.044900,4.125,23.83725,1.88000,1620,5857.00,4.17,487.9160000
23480,Kepler-40 b,1,1,0,2010,6.87316970,0.080200,16.141,686.51280,0.89000,1744,6510.00,3.81,2305.0100000
23483,Kepler-40 b,1,1,0,2010,6.87349000,0.079500,14.235,673.79960,1.30000,1666,6510.00,3.89,2305.0100000
23486,Kepler-40 b,1,1,0,2010,6.87349000,0.080000,13.110,699.20000,1.68000,1620,6510.00,3.94,2305.0100000
23700,Kepler-41 b,1,1,0,2011,1.85555880,0.028950,9.550,156.69019,0.99750,1554,5660.00,4.47,1093.0800000
23702,Kepler-41 b,1,1,0,2011,1.85555800,0.030000,9.980,174.80000,1.10000,1730,5620.00,4.47,1093.0800000
23706,Kepler-41 b,1,1,0,2011,1.85555770,0.023960,11.657,177.98480,0.70000,1770,5620.00,4.47,1093.0800000
23708,Kepler-41 b,1,1,0,2011,1.85555820,0.031010,14.460,177.98000,0.33000,1790,5750.00,4.28,1093.0800000
23758,Kepler-412 b,1,1,0,2014,1.72086040,0.028970,15.031,299.07803,0.52000,1850,5750.00,4.30,1086.2400000
23946,Kepler-423 b,1,1,0,2014,2.68432850,0.035850,13.361,189.10100,0.45900,1605,5560.00,4.41,758.7530000
23969,Kepler-425 b,1,1,0,2014,3.79701816,0.046400,10.962,79.45000,0.27000,1070,5170.00,4.54,646.6470000
23981,Kepler-426 b,1,1,0,2014,3.21751883,0.041400,12.220,108.06000,0.26000,1300,5725.00,4.47,843.6950000
23994,Kepler-427 b,1,1,0,2014,10.29099400,0.091000,13.790,92.17000,0.16000,1100,5800.00,4.14,1017.8000000
